country,updated_country,Country Code (ISO 3166-1 alpha-3),Year,gold,silver,bronze,total,medal_sum,check,GDP,HDI,LE,EYS,MYS,GNIPC,MMR,PHDI,CO2_PROD,BMI_underweight,BMI_obesity,BMI_morbid_obesity,Mean_Height,Diabetes_in_18+,Diabetes_treated_in_30+,non-HDL_cholesterol,HDL_cholesterol,Raised_blood_pressure,Hypertension,cluster
Iceland,Iceland,ISL,2004,0,0,0,0,0,True,66684.45497500613,0.9055,80.4785,17.469382285,11.9607519075,40053.2430725,4.467702652,0.7417499999999999,10.292121605,0.0174557970490834,0.1602309225776644,0.0109618018104035,174.16402067500002,0.0406022049501837,0.4638724504076205,3.8973474439635023,1.3895043532768363,0.2505502515584554,0.3348894384532458,0
Iceland,Iceland,ISL,2008,0,14,0,14,14,True,99014.22586626526,0.92675,81.20275000000001,18.042554855,12.50437019,45215.6733375,4.0782358995,0.70675,10.5626363425,0.0164622113044839,0.1770896322983846,0.0135412411432012,174.1550870875,0.0422628925289043,0.5039506431712579,3.6575012009710015,1.4046785599218012,0.2332717578106576,0.327897930268588,0
Iceland,Iceland,ISL,2012,0,0,0,0,0,True,60313.550871605104,0.928,81.7055,18.314135075000003,12.876777614999998,40206.178225,3.059069565,0.7837500000000001,11.5189231675,0.0159063793591484,0.1891954003735993,0.0159226223698356,174.18976567916667,0.0438468317884183,0.5446154385042493,3.4577629272092727,1.4190632921405777,0.2155491188045235,0.3147575753104963,0
India,India,IND,2000,0,0,1,1,1,True,946.7034866126916,0.4744999999999999,61.59275,8.1777648925,3.7212979965,2322.0147405,419.59551735,0.46625,0.8661239335,0.3425120796685287,0.0162471926986258,0.0006355635791,157.45485497333334,0.1315537091906013,0.2370222945468708,3.3740527328000254,1.037196582172101,0.2478187510543775,0.3023665212482914,1
India,India,IND,2004,0,1,0,1,1,True,913.2645602037742,0.5,63.36749999999999,8.472307681999999,4.25975854025,2673.81036125,350.135805275,0.4912499999999999,0.9297577875,0.3056066634447437,0.023105428951456,0.0009776731856756,157.53036868333334,0.1448994416938661,0.2410100030668798,3.404764963487474,1.033977930885987,0.2506395482093688,0.3120711018779945,1
India,India,IND,2008,1,0,2,3,3,True,1217.5922118266662,0.5365,65.17999999999999,9.61533010025,4.59054058425,3313.34848275,267.28395605,0.5265000000000001,1.0724943025,0.2703371113469939,0.0306601231982815,0.0013995400035783,158.00727452916666,0.157770978727709,0.2478998412446859,3.397782779103225,1.027728654560888,0.2533704118400521,0.3162754331486679,1
India,India,IND,2012,0,2,4,6,6,True,1375.8356719316655,0.56925,66.7325,10.514932395,5.043956312500001,4024.28807575,194.050975875,0.55625,1.32676627975,0.2326890941083018,0.0395000569397821,0.0019199352507265,158.66447569166667,0.1681306069845551,0.2593693668663677,3.350779854701555,1.0165410299997149,0.255349348880811,0.3161780762444924,1
Indonesia,Indonesia,IDN,2000,2,4,2,8,8,True,5168.110313899041,0.5872499999999999,65.81775,10.6971850375,5.270176083,5636.6354085,313.617976175,0.5742499999999999,1.29626576725,0.1938295636892874,0.0237456807015494,0.0006032859422468,156.45570033333334,0.0496263375590806,0.222705042733889,2.973411690296583,1.0558521567609138,0.2515678159650175,0.3120866077843248,1
Indonesia,Indonesia,IDN,2004,1,1,3,5,5,True,2186.79782474283,0.6094999999999999,66.9345,10.92779255,6.3638485970000005,5605.606468,284.3362856,0.5965,1.4242732389999997,0.1781016767668823,0.0317433752373556,0.0010052561543782,157.04002192083334,0.0516770970120493,0.2344622909806749,3.0710361634912,1.0664465916959955,0.2518510637892842,0.3228135481855542,1
Indonesia,Indonesia,IDN,2008,2,2,3,7,7,True,2493.430533212445,0.636,67.37549999999999,11.4854526525,7.24621652075,6481.099372,266.38329275,0.62025,1.54608718925,0.16030212029545,0.0420358062470192,0.0015876949424421,157.56024395,0.0566363476850844,0.2409448447349702,3.209251934066849,1.0939946688606894,0.2489496396802413,0.3395100740268681,1
Indonesia,Indonesia,IDN,2012,0,1,1,2,2,True,2901.2710665776003,0.6625000000000001,68.5555,12.502345085,7.3263861535,7805.30049075,238.052591575,0.64325,1.76147286625,0.1398841754316044,0.0554925438768873,0.0023492719098564,158.13144115833333,0.0658958155768832,0.2409300801347013,3.369392643732319,1.1317319476656236,0.2439219574234259,0.3570506046912247,1
Iran,Iran,IRN,2000,3,0,1,4,4,True,40515.075744992224,0.67425,68.614,11.622722385,7.80553803275,10521.6226225,51.5299555925,0.63325,4.8235511545000005,0.0632915309479529,0.1455351120860325,0.0061672207068079,164.62250573666668,0.0794850892870004,0.4028196301524793,3.943005256193198,1.100968209772754,0.2597826437171336,0.3380779759760693,0
